partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
2,138,748,65616,WS-2015-0042,v2:b70509f9-a16c-4c1f-94e5-552026852631,1,12,"{""WhiteSource"":{""Url"":""https://github.com/fabric/fabric/issues/1341""}}"
4,11,7,97799,CVE-2022-39353,v6:e3089068ab2344299bbc0d5427fc5b86,3,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/xmldom/xmldom/security/advisories/GHSA-crh6-fp67-6883""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-39353""}}"
4,11,7,40320,CVE-2017-12964,v6:dc35c9c8bb76489e8c86bf112a93d03c,2,2,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-12964""}}"
4,11,7,303,CVE-2015-8855,v2:e40eaeec-f67b-4f36-8607-440202e3f8ec,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2015-8855""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2015-8855""}}"
4,11,7,2011,CVE-2017-16026,v2:fff06527-9f4b-4bf4-9e36-a70e9908df6b,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2017-16026""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-16026""}}"
4,11,7,48874,CVE-2020-7746,v6:f31efae2c56943e39b398b81c4f93205,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-7746""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-7746""}}"
4,11,7,51282,CVE-2020-28458,v6:0bb82a48aa544f878b4dbe6ee35ed268,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-28458""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-28458""}}"
4,11,7,73200,CVE-2021-23445,v6:859cba3d82e9448492d47f38e362e290,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-23445""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-23445""}}"
4,11,7,83876,CVE-2022-21718,v6:b3025e10296f4f96897391ddfa0f82e6,0,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/electron/electron/security/advisories/GHSA-3p22-ghq8-v749""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-21718""}}"
4,11,7,85801,CVE-2022-25844,v6:9c46721812694089b0658bfe9135d1bb,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-25844""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-25844""}}"
4,11,7,52911,CVE-2020-26272,v6:bb847e6d835f4cf3ab47fe0688e18807,1,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/electron/electron/security/advisories/GHSA-hvf8-h2qh-37m9""}}"
4,11,7,51191,CVE-2019-10775,v6:0f3c74aa3d7d4c4288bcd7f2112d5be4,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2019-10775""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-10775""}}"
4,11,7,11652,CVE-2019-5448,v2:527bd0ec-dda4-4432-8fe3-907e6035b3d2,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2019-5448""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-5448""}}"
4,11,22,85819,CVE-2022-21227,v6:465ae528ccf5471ebd612baa0eaabac8,1,2,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-21227""}}"
4,11,24,75047,CST-E has determined that this component is not generally safe to use.,v6:e98428ffe5c44ffd827e63ac6e8e0889,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2FdSMS%2Freview-1.md""}}"
4,11,24,82410,CVE-2021-46703,v6:6bd1c001c7dd41dc9c7170c3aef14a4d,1,1,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-46703""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-46703""}}"
4,11,24,64014,CST-E has determined that this component is not generally safe to use.,v6:c5734d6086974e8c9cf700d6e6af36aa,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fprotobuf-net%2Freview-2.md""}}"
4,11,24,82296,CST-E has determined that this component is not generally safe to use.,v6:87893dd047d44d0fab705816e8b8b14d,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
4,11,24,82297,CST-E has determined that this component is not generally safe to use.,v6:63334306a457416bb705f6761009ed82,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
4,11,24,82298,CST-E has determined that this component is not generally safe to use.,v6:f5f261ce39ad48329651013508344250,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
4,11,24,82299,CST-E has determined that this component is not generally safe to use.,v6:2f8fcd2208e74d96939a061a074af793,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
