partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
7,1791,158,709,CVE-2017-11883,v2:6856e284-b10a-40a6-ad37-d8d9a86c8682,2,1,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2017-11883""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-11883""}}"
7,1791,827,2259437,CST-E has determined that this component is not generally safe to use.,v6:00934f27a6ef4aa1a5c098d088d2781d,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Flibsassnet%2Freview-1.md""}}"
7,1791,613,319756,CVE-2018-3717,v2:6a5f3549-4078-4a46-b856-ff3f1e81044b,0,2,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2018-3717""}}"
7,1791,613,4258,CVE-2017-16030,v2:1d8c7ac9-7ade-49c0-b072-c56e9423ed81,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2017-16030""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-16030""}}"
7,1791,1450,11122,CVE-2018-7307,v2:410cf11c-3864-4a04-98af-abec63cd77ca,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2018-7307""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2018-7307""}}"
7,1791,1450,2265673,CVE-2019-20174,v6:4ee914408c28406cb36c8fb6efd85a2d,1,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/auth0/lock/security/advisories/GHSA-w2pf-g6r8-pg22""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-20174""}}"
7,1791,1450,3586904,CVE-2020-15119,v6:3bc3bbe07f5b47aebc3593cdb18f412f,0,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/auth0/lock/security/advisories/GHSA-6gg3-pmm7-97xc""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-15119""}}"
7,1791,1450,5170779,CVE-2021-32641,v6:e103341757de42e18eae3afa8859043d,2,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/auth0/lock/security/advisories/GHSA-jr3j-whm4-9wwm""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-32641""}}"
7,1791,1450,7180462,CVE-2022-29172,v6:afd4471eb17f4d01b22e8bf9fbf5bd18,1,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/auth0/lock/security/advisories/GHSA-7ww6-75fj-jcj7""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-29172""}}"
7,1791,1451,5535148,CST-E has determined that this component is not generally safe to use.,v6:b9f4a1fe0fee40768d2d510fd857cb5f,3,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmds-dataaccessclient%2Freview-1.md""}}"
7,1791,528,872514,WS-2017-0124,v2:b1518d60-2a60-47e1-8326-f1504959ee03,1,2,"{""WhiteSource"":{""Url"":""https://github.com/angular/angular.js/commit/ab80cd90661396dbb1c94c5f4dd2d11ee8f6b6af""}}"
7,1791,151066,6642725,CVE-2022-23647,v6:dea5d624a10a4bbcb0dff7f593e0a883,2,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/PrismJS/prism/security/advisories/GHSA-3949-f494-cm99""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-23647""}}"
7,1791,1100,287663,CVE-2015-1164,v2:e82189a0-b53d-4f02-bcb4-49ce0aa9e07d,1,2,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2015-1164""}}"
7,1942,97103,273486,CVE-2015-9241,v2:3bc7e9d3-e0ae-4527-81d3-e4731b31d107,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2015-9241""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2015-9241""}}"
7,1791,528,872511,WS-2017-0122,v2:8123a657-2b1f-4d9d-82f7-fec7428e33ea,1,2,"{""WhiteSource"":{""Url"":""https://github.com/angular/angular.js/commit/e676d642f5feb8d3ba88944634afb479ba525c36""}}"
7,1942,97103,273487,CVE-2015-9243,v2:aeee0b41-34b5-462f-a32b-db00e4989e2a,1,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/hapijs/hapi/issues/2980""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2015-9243""}}"
