partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
2,13,825,85222,CVE-2020-7712,v6:8e35daab18d1459582be06bd90ab8635,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-7712""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-7712""}}"
2,138,524,17229,WS-2018-0108,v2:51deaac4-9cf7-402a-9bc2-c9f2b08e4a52,1,2,"{""WhiteSource"":{""Url"":""https://hackerone.com/reports/319465""}}"
4,11,7,86495,CVE-2022-29167,v6:4172f870d0fa477aacb68c534b8488d6,2,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/mozilla/hawk/security/advisories/GHSA-44pw-h2cw-w3vq""}}"
4,11,7,85802,CVE-2022-25844,v6:9c46721812694089b0658bfe9135d1bb,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-25844""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-25844""}}"
4,11,7,73200,CVE-2021-23445,v6:859cba3d82e9448492d47f38e362e290,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-23445""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-23445""}}"
4,11,7,51282,CVE-2020-28458,v6:0bb82a48aa544f878b4dbe6ee35ed268,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-28458""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-28458""}}"
4,11,22,85819,CVE-2022-21227,v6:465ae528ccf5471ebd612baa0eaabac8,1,2,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-21227""}}"
4,11,24,48976,CVE-2020-7746,v6:f31efae2c56943e39b398b81c4f93205,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-7746""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-7746""}}"
4,11,24,1021,WS-2016-0133,v2:d809755a-907f-4d31-8694-00294ce6c033,1,1,"{""WhiteSource"":{""Url"":""https://www.firegiant.com/blog/2016/1/20/wix-v3.10.2-released/""}}"
4,11,24,75047,CST-E has determined that this component is not generally safe to use.,v6:e98428ffe5c44ffd827e63ac6e8e0889,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2FdSMS%2Freview-1.md""}}"
4,11,24,64014,CST-E has determined that this component is not generally safe to use.,v6:c5734d6086974e8c9cf700d6e6af36aa,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fprotobuf-net%2Freview-2.md""}}"
4,11,24,82302,CST-E has determined that this component is not generally safe to use.,v6:4895e9e7adc643f6914e717b133b0896,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
4,11,24,82304,CST-E has determined that this component is not generally safe to use.,v6:1130d47335f249e28a7dfb0ff3d91e89,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
4,11,24,82299,CST-E has determined that this component is not generally safe to use.,v6:2f8fcd2208e74d96939a061a074af793,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
4,11,24,82297,CST-E has determined that this component is not generally safe to use.,v6:63334306a457416bb705f6761009ed82,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
4,11,24,82305,CST-E has determined that this component is not generally safe to use.,v6:e60942fcb1fe47d99c1b364472acf362,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
4,11,24,82300,CST-E has determined that this component is not generally safe to use.,v6:d22cc61bb5ed4e5dbe03f81578a8f7c1,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
4,11,24,82301,CST-E has determined that this component is not generally safe to use.,v6:966aecbbd4e042feb353b96a83987ba3,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
4,11,24,82303,CST-E has determined that this component is not generally safe to use.,v6:104252cfde514deabb156ac2c31b6a42,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
4,11,27,85685,CVE-2022-26924,v6:e4c58909d6d84ee09d9015c828583219,2,1,"{""GitHubAdvisories"":{""Url"":""https://github.com/microsoft/reverse-proxy/security/advisories/GHSA-8xc6-g8xw-h2c4""}}"
4,11,27,57449,CVE-2020-8169,v6:8dcc147f6e90496f8c8237e9f5e3bd9f,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2020-8169""}}"
4,11,27,57455,CVE-2021-22876,v6:5e24acdf1cef435eb5dd4631b555ce14,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2021-22876""}}"
4,11,27,57456,CVE-2021-22890,v6:793e9d7470434fcaaae105f45b8331ad,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2021-22890""}}"
