partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
2,13,825,85222,CVE-2020-7712,v6:8e35daab18d1459582be06bd90ab8635,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-7712""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-7712""}}"
2,138,524,17229,WS-2018-0108,v2:51deaac4-9cf7-402a-9bc2-c9f2b08e4a52,1,2,"{""WhiteSource"":{""Url"":""https://hackerone.com/reports/319465""}}"
4,11,7,51282,CVE-2020-28458,v6:0bb82a48aa544f878b4dbe6ee35ed268,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-28458""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-28458""}}"
4,11,7,73200,CVE-2021-23445,v6:859cba3d82e9448492d47f38e362e290,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-23445""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-23445""}}"
4,11,7,86871,CVE-2021-39184,v6:9ad2aafe62e24abdb2bc4fb6a609ed5c,1,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/electron/electron/security/advisories/GHSA-mpjm-v997-c4h4""}}"
4,11,7,86872,CVE-2022-21718,v6:b3025e10296f4f96897391ddfa0f82e6,0,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/electron/electron/security/advisories/GHSA-3p22-ghq8-v749""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-21718""}}"
4,11,7,18804,CVE-2018-15685,v2:c5370c5e-bdbd-42f7-a025-a484eba42b18,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2018-15685""}}"
4,11,7,85802,CVE-2022-25844,v6:9c46721812694089b0658bfe9135d1bb,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-25844""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-25844""}}"
4,11,7,77630,CVE-2020-26301,v6:0944d2f18f2f47c09ea6550fd708b9e2,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-26301""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-26301""}}"
4,11,7,86495,CVE-2022-29167,v6:4172f870d0fa477aacb68c534b8488d6,2,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/mozilla/hawk/security/advisories/GHSA-44pw-h2cw-w3vq""}}"
4,11,7,18807,CST-E has determined that this component is not generally safe to use.,v6:7534b0b404e64914a4d4f79997617b5c,1,2,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnpm%2Fform-data%2Freview-2.md""}}"
4,11,22,85819,CVE-2022-21227,v6:465ae528ccf5471ebd612baa0eaabac8,1,2,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-21227""}}"
4,11,24,84204,WS-2017-0115,v2:f48a0ad1-1401-4ecb-8de4-425eefbad984,1,9,"{""WhiteSource"":{""Url"":""https://github.com/angular/angular.js/commit/234053fc9ad90e0d05be7e8359c6af66be94c094""}}"
4,11,24,82495,WS-2017-0119,v2:eea64f25-ac49-4769-9159-4cf5fe28eefb,2,9,"{""WhiteSource"":{""Url"":""https://github.com/angular/angular.js/commit/181fc567d873df065f1e84af7225deb70a8d2eb9""}}"
4,11,24,82494,WS-2017-0116,v2:c31679cb-5506-4d41-907e-3e72d9a31387,1,9,"{""WhiteSource"":{""Url"":""https://github.com/angular/angular.js/commit/7a668cdd7d08a7016883eb3c671cbcd586223ae8""}}"
4,11,24,82493,CVE-2016-7103,v2:1d4f5447-4e1b-46c3-b5c8-659a871c95b1,1,9,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2016-7103""}}"
4,11,24,86793,CVE-2019-1301,v2:79b68779-092d-4c03-a6c6-a8420f70fed6,2,1,"{""GitHubAdvisories"":{""Url"":""https://github.com/PowerShell/PowerShell/security/advisories/GHSA-62gw-3rmj-wmp2""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-1301""}}"
4,11,24,86794,CVE-2019-1167,v6:91e3604339fd442b97b75de1ca4e1bd5,1,1,"{""GitHubAdvisories"":{""Url"":""https://github.com/PowerShell/PowerShell/security/advisories/GHSA-5frh-8cmj-gc59""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-1167""}}"
4,11,24,40342,CVE-2017-12964,v6:dc35c9c8bb76489e8c86bf112a93d03c,2,2,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-12964""}}"
4,11,24,1021,WS-2016-0133,v2:d809755a-907f-4d31-8694-00294ce6c033,1,1,"{""WhiteSource"":{""Url"":""https://www.firegiant.com/blog/2016/1/20/wix-v3.10.2-released/""}}"
4,11,24,48976,CVE-2020-7746,v6:f31efae2c56943e39b398b81c4f93205,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-7746""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-7746""}}"
4,11,24,72125,CVE-2021-34532,v6:c08ebe819191466287b0a5a6863339a9,1,1,"{""GitHubAdvisories"":{""Url"":""https://github.com/dotnet/aspnetcore/security/advisories/GHSA-q7cg-43mg-qp69""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-34532""}}"
4,11,24,25839,GHSA-9q64-mpxx-87fg,v6:fa714a6a2585465eb5e963113b2645b4,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2019-10775""}}"
4,11,24,75047,CST-E has determined that this component is not generally safe to use.,v6:e98428ffe5c44ffd827e63ac6e8e0889,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2FdSMS%2Freview-1.md""}}"
