partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
2,138,524,77111,CVE-2021-42322,v6:b1885491cc96474fb5c86e29bd2a1782,2,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-42322""}}"
2,138,524,58878,CVE-2021-28469,v6:0237b3f7880546f684ecdd8153774ca9,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-28469""}}"
2,138,524,58877,CVE-2021-28477,v6:16fdc8414ac94318961c4a99e9cac532,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-28477""}}"
2,138,524,58876,CVE-2021-28473,v6:65bea5e09b1c4b86ba4985ea43768516,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-28473""}}"
2,138,524,75692,GHSA-8f93-rv4p-x4jw,v6:01f957915b0b416194fa55ce400c96b2,1,2,"{""GitHubAdvisories"":{""Url"":""https://hackerone.com/reports/319465""}}"
2,138,748,65616,WS-2015-0042,v2:b70509f9-a16c-4c1f-94e5-552026852631,1,12,"{""WhiteSource"":{""Url"":""https://github.com/fabric/fabric/issues/1341""}}"
4,11,7,11652,CVE-2019-5448,v2:527bd0ec-dda4-4432-8fe3-907e6035b3d2,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2019-5448""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-5448""}}"
4,11,7,303,CVE-2015-8855,v2:e40eaeec-f67b-4f36-8607-440202e3f8ec,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2015-8855""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2015-8855""}}"
4,11,7,40320,CVE-2017-12964,v6:dc35c9c8bb76489e8c86bf112a93d03c,2,2,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-12964""}}"
4,11,7,2011,CVE-2017-16026,v2:fff06527-9f4b-4bf4-9e36-a70e9908df6b,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2017-16026""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-16026""}}"
