partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
101,13480,8628,528595,CVE-2019-10217,v6:93507b4e861346848113486b767aa9fb,1,8,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2019-10217""}}"
209,190504,28918,427798,Regular Expression Denial of Service,v6:6b4d65a1a6de412d8bcf639983a579ea,1,2,"{""NpmAudit"":{""Url"":""https://npmjs.com/advisories/1748""}}"
502,4171,412,46811,CST-E has determined that this component is not generally safe to use.,v6:ccce7144add34c749694592981fd5ef7,1,2,"{""TwC"":{""Url"":""https://ossum.microsoft.com/component/review?id=204""}}"
710,158925,32247,484166,CVE-2021-39154,v6:5efaedb435be43e2a65dc1b13e41fe6f,2,3,"{""GitHubAdvisories"":{""Url"":""https://github.com/x-stream/xstream/security/advisories/GHSA-6w62-hx7r-mw68""},""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-39154""}}"
710,158925,32247,484167,CVE-2021-39153,v6:cfbf2ade6cfa4f6dae538bf30ec08934,2,3,"{""GitHubAdvisories"":{""Url"":""https://github.com/x-stream/xstream/security/advisories/GHSA-2q8x-2p7f-574v""},""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-39153""}}"
710,158925,32247,484170,CVE-2021-39151,v6:1e51472bcd2944b49c7b469f8c405e2c,2,3,"{""GitHubAdvisories"":{""Url"":""https://github.com/x-stream/xstream/security/advisories/GHSA-hph2-m3g5-xxv4""},""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-39151""}}"
710,158925,32247,484171,CVE-2021-39149,v6:17fa2b38aaf64e51a6b60232e3e569be,2,3,"{""GitHubAdvisories"":{""Url"":""https://github.com/x-stream/xstream/security/advisories/GHSA-3ccq-5vw3-2p6x""},""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-39149""}}"
710,158925,32247,484172,CVE-2021-39148,v6:1c3d166c2f7e48a1a080b61aa87c4855,2,3,"{""GitHubAdvisories"":{""Url"":""https://github.com/x-stream/xstream/security/advisories/GHSA-qrx8-8545-4wg2""},""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-39148""}}"
710,158925,32247,484173,CVE-2021-39147,v6:57714f83a104468ea1426b06fd0c880c,2,3,"{""GitHubAdvisories"":{""Url"":""https://github.com/x-stream/xstream/security/advisories/GHSA-h7v4-7xg3-hxcc""},""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-39147""}}"
710,158925,32247,484174,CVE-2021-39146,v6:77eff763a9c44d9c9f4b6e5e6187cac6,2,3,"{""GitHubAdvisories"":{""Url"":""https://github.com/x-stream/xstream/security/advisories/GHSA-p8pq-r894-fm8f""},""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-39146""}}"
710,158925,32247,484177,CVE-2021-39141,v6:edd5ca1fff4a4df3a6a0bf0eb8f6781c,2,3,"{""GitHubAdvisories"":{""Url"":""https://github.com/x-stream/xstream/security/advisories/GHSA-g5w6-mrj7-75h2""},""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-39141""}}"
710,158925,32247,484179,CVE-2021-39139,v6:b51af1bddca7423caa84e475e2bae11f,2,3,"{""GitHubAdvisories"":{""Url"":""https://github.com/x-stream/xstream/security/advisories/GHSA-64xx-cq4q-mf44""},""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-39139""}}"
819,238148,35506,561521,CVE-2020-12049,v6:2bdb032567f6425d86b4e774e4ac423b,1,13,"{""UbuntuCve"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-12049""}}"
896,83307,12024,138059,CST-E has determined that this component is not generally safe to use.,v6:a2aebd69e0c9487cb027bba73f2bab32,1,2,"{""TwC"":{""Url"":""https://ossum.microsoft.com/component/review?id=206""}}"
909,14747,2453,30135,CVE-2019-17547,v6:bf04d3185b924b98b1f6c7332d20400c,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-17547""}}"
909,14747,2453,30136,CVE-2019-13300,v6:6895520b79ae4c0a90676c7a4c776486,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-13300""}}"
909,14747,2453,357185,CVE-2020-27766,v6:053c32bd494043148ba1303967a1006c,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-27766""}}"
909,14747,2453,357186,CVE-2020-27776,v6:573fc311f81a44949131aa1310a44612,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-27776""}}"
909,14747,2453,357187,CVE-2020-27774,v6:71bfd8032876431899138b190501a730,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-27774""}}"
909,14747,2453,357188,CVE-2020-27775,v6:98c0e5f16cbd4bb4827b1d064b1cfa59,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-27775""}}"
909,14747,2453,30137,CVE-2019-16713,v6:e87d36737b6942c9b9e9b268e2dbf560,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-16713""}}"
909,14747,2453,357189,CVE-2020-27760,v6:0ee4504330294410a89281fc82935f83,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-27760""}}"
909,14747,2453,357191,CVE-2019-18853,v6:3be2c17591b741d8a262f1cb610aa36b,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-18853""}}"
909,14747,2453,357192,CVE-2020-25674,v6:101662b634ce4fec86b893c99700266d,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-25674""}}"
909,14747,2453,357193,CVE-2019-19952,v6:36df7288078d418f871b5b948562d49d,2,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-19952""}}"
909,14747,2453,357194,CVE-2020-25664,v6:d0f898bdcf3d46798044328e72a9f474,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-25664""}}"
909,14747,2453,357195,CVE-2020-27758,v6:27fc600f1f764c47bc3804cb229b26cd,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-27758""}}"
909,14747,2453,357197,CVE-2020-13902,v6:72ac9e9fd592483a933d01c9163ef29b,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-13902""}}"
909,14747,2453,357198,CVE-2021-20246,v6:66f7783077824eb69632716b2cc1363a,2,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-20246""}}"
909,14747,2453,357199,CVE-2021-20243,v6:ee406c1da4e242fd9880dfe928e1f0d1,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-20243""}}"
909,14747,2453,357200,CVE-2021-20176,v6:32f02d7a5c144c5c9b5a9d8a388bdd20,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-20176""}}"
909,14747,2453,357201,CVE-2021-20241,v6:8bd1179b90cb46de8b8fc9b907138b35,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-20241""}}"
909,14747,2453,357202,CVE-2021-20245,v6:89028d8bb2be43fc82f11110ffbbf3ac,2,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-20245""}}"
909,14747,2453,357203,CVE-2017-14528,v6:00a00a7dfc054e6a84e9d710d65e28d1,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-14528""}}"
909,14747,2453,357204,CVE-2021-20244,v6:72cb3ee18e1d45fa97cb3a7dbadcdf49,2,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-20244""}}"
909,123665,21451,7015311,CVE-2019-2435,v6:6aba3e562f2d4ee2a3b9842850727cf3,1,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-2435""}}"
909,123665,21451,7015287,CVE-2011-2088,v2:b33724e9-a505-441c-b426-4ba50414dda8,1,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2011-2088""}}"
909,123665,21451,7015222,CVE-2015-5143,v2:0185dab0-5b9a-4566-b956-b2908b06eef0,2,8,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2015-5143""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2015-5143""}}"
909,123665,21451,7015223,CVE-2014-0482,v2:04307086-5cc7-44ff-9c4a-0c7f85e165c3,1,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2014-0482""}}"
909,123665,21451,7015224,CVE-2013-1443,v2:27f6f00f-c18d-4e6e-8103-c8f91f5692e1,1,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2013-1443""}}"
909,123665,21451,7015225,CVE-2014-0474,v2:2f92e834-972f-4660-be67-4dada737aaf7,3,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2014-0474""}}"
909,123665,21451,7015226,CVE-2014-0473,v2:302337cc-5772-477d-b6c2-e168d29fb098,1,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2014-0473""}}"
909,123665,21451,7015227,CVE-2015-5144,v2:3fd8799a-19c5-4713-a963-d75f98b736bd,1,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2015-5144""}}"
909,123665,21451,7015228,CVE-2014-1418,v2:4ae3b0db-8bf6-4476-82db-003b76ffa4f0,1,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2014-1418""}}"
909,123665,21451,7015229,CVE-2013-6044,v2:4b77dc03-0b50-44b2-a2aa-66dbeb9f984c,1,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2013-6044""}}"
909,123665,21451,7015230,CVE-2014-0483,v2:4d1597fb-5240-4f89-a117-034e5317eb18,0,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2014-0483""}}"
909,123665,21451,7015231,CVE-2014-0472,v2:5d45e9f2-66aa-4058-a408-cba8c36edcd9,1,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2014-0472""}}"
909,123665,21451,7015233,CVE-2013-4315,v2:6ea9ace3-fbfa-4997-8a7f-05c72a64e5c1,1,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2013-4315""}}"
909,123665,21451,7015234,CVE-2014-0480,v2:7d0d7da1-7c78-474a-9fac-027daf74d1c0,1,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2014-0480""}}"
